[00:00:21] 上次,我们说到了红飞树的定义,以及插入的各种调整策略
[00:25:14] 然後在右旋
[00:25:15] 所以咱們先左旋批的左孩子二三
[00:25:20] 然後在右旋競點批
[00:25:22] 那旋上完整以後呢
[00:25:25] 咱們在對雙黑
[00:25:26] 變單黑就可以了
[00:25:29] OK
[00:25:30] 那咱們繼續伸出RVNP
[00:25:32] 找到RVNP的位置
[00:25:33] 發現它左右子數都有
[00:25:35] 所以找到它的直接後幾三十四
[00:25:38] 只能替換掉要伸出RVNP
[00:25:42] 然後問題呢
[00:25:43] 就轉移到了伸出原來的三十四上面
[00:25:45] 發現是沒有孩子的黑色疊臉
[00:25:48] 那伸出以後呢
[00:25:49] 它就變成雙黑疊臉
[00:25:51] 然後看它的兄弟
[00:25:52] 那這是什麼屬於黑修
[00:25:54] 孩子也是黑色的情況啊
[00:25:56] 那咱們將兄弟已經變紅
[00:25:59] 然後呢將雙黑上一一
[00:26:02] 上一後遇到紅色疊臉了
[00:26:04] 咱們直接將它變成單黑
[00:26:07] OK 那這就調整好了
[00:26:09] 咱們繼續伸出十七
[00:26:11] 發現它既有左子數也有右子數
[00:26:14] 找到它的直接後幾二三
[00:26:16] 用二三地替換掉接點十七
[00:26:19] 然後呢問題就轉移到了伸出原來的二三上面
[00:26:23] 發現是沒有孩子的紅色疊臉
[00:26:25] 那這種情況最簡單的了
[00:26:26] 咱們直接伸掉就可以了
[00:26:28] 咱們繼續伸出三十四
[00:26:30] 發現它是沒有孩子的黑色疊臉
[00:26:33] 那伸出以後呢變成雙黑疊臉
[00:26:36] 咱們看它的兄弟點十
[00:26:38] 屬於黑修至少一個紅孩這種情況
[00:26:41] 所以咱們掛著它形態
[00:26:43] 發現是AOAO型
[00:26:45] 還是先進行變色
[00:26:46] 也就是對二二變A4
[00:26:48] A4變P
[00:26:50] P在變黑
[00:26:51] 變成什麼時候呢
[00:26:52] 對點點P呢
[00:26:53] 今天又選因為是AOA2型嗎
[00:26:55] 那最後呢
[00:26:56] 咱們再把雙黑
[00:26:57] 也會到單黑就可以了
[00:26:59] OK
[00:26:59] 那這就調整好了
[00:27:01] 咱們繼續伸出9
[00:27:03] 那同樣先找到9的位置
[00:27:05] 發現它是沒有孩子的黑色疊臉
[00:27:07] 於是伸出以後呢變成雙黑
[00:27:09] 然後看到的兄弟二三
[00:27:11] 發現屬於黑修
[00:27:13] 孩子也都是黑色的情況
[00:27:15] 那將兄弟變成紅色
[00:27:16] 然後雙黑疊臉緊緊上一
[00:27:20] 上一以後呢
[00:27:21] 遇到根疊臉了
[00:27:22] 所以直接變成單黑
[00:27:25] OK
[00:27:26] 那咱們繼續伸出10
[00:27:27] 發現10只有右孩子
[00:27:29] 那麼只需要讓它的孩子帶替的
[00:27:32] 然後在變黑就可以了
[00:27:35] 那最後呢
[00:27:36] 3初二三
[00:27:37] 因為只伸他一個了
[00:27:38] 伸出後整顆數
[00:27:40] 將會維空
[00:27:40] 百歲直接伸出就可以了
[00:27:43] OK
[00:27:43] 那這就是本次可能內容
[00:27:45] 先把小伙伴們聽完之後呢
[00:27:47] 能夠更好的理解
[00:27:48] 紅可以說的伸出完
[00:27:49] 如果有喜歡我的小伙伴
[00:27:51] 別忘記一件三流
[00:27:52] 你的支持就是我更新的最大動力
